team,seed,region,prb_rd1,prb_rd2,prb_s16,prb_e8,prb_f4,prb_finals,prb_champ
Michigan,1,East,0.9,0.688,0.487,0.33,0.229,0.229,0.161
Arizona,1,South,0.853,0.607,0.395,0.261,0.156,0.156,0.081
Houston,1,Midwest,0.855,0.582,0.343,0.218,0.121,0.121,0.064
Duke,1,West,0.857,0.609,0.387,0.243,0.127,0.127,0.062
Saint Johns,2,South,0.824,0.558,0.318,0.174,0.097,0.097,0.044
Connecticut,2,Midwest,0.813,0.544,0.331,0.173,0.092,0.092,0.044
Iowa State,2,East,0.786,0.526,0.302,0.134,0.071,0.071,0.04
Florida,2,West,0.806,0.513,0.289,0.154,0.079,0.079,0.038
Kansas,3,West,0.787,0.488,0.278,0.14,0.069,0.069,0.037
Purdue,3,South,0.777,0.477,0.267,0.126,0.07,0.07,0.036
Gonzaga,3,East,0.762,0.449,0.27,0.127,0.069,0.069,0.035
Illinois,4,West,0.749,0.44,0.208,0.103,0.051,0.051,0.033
Vanderbilt,4,Midwest,0.722,0.414,0.213,0.111,0.067,0.067,0.033
Tennessee,3,Midwest,0.773,0.498,0.281,0.147,0.067,0.067,0.028
BYU,5,West,0.697,0.357,0.158,0.075,0.039,0.039,0.025
Alabama,4,East,0.734,0.407,0.173,0.103,0.049,0.049,0.024
Clemson,5,Midwest,0.686,0.381,0.188,0.094,0.048,0.048,0.023
Texas Tech,4,South,0.736,0.417,0.218,0.117,0.062,0.062,0.021
Saint Louis,6,Midwest,0.654,0.304,0.137,0.077,0.041,0.041,0.019
North Carolina,5,East,0.712,0.391,0.165,0.084,0.038,0.038,0.017
Auburn,5,South,1.241,0.587,0.273,0.125,0.05,0.05,0.016
Auburn,8,Midwest,1.241,0.587,0.273,0.125,0.05,0.05,0.016
Louisville,7,East,0.565,0.237,0.11,0.051,0.021,0.021,0.01
Arkansas,6,West,0.642,0.318,0.159,0.07,0.027,0.027,0.009
NC State,7,West,0.591,0.266,0.12,0.045,0.013,0.013,0.009
Kentucky,6,East,0.646,0.331,0.159,0.054,0.023,0.023,0.008
Villanova,6,South,0.657,0.318,0.155,0.064,0.025,0.025,0.008
Utah State,8,East,0.535,0.147,0.066,0.027,0.015,0.015,0.007
Texas,8,South,0.534,0.197,0.08,0.042,0.019,0.019,0.007
Indiana,7,Midwest,0.567,0.245,0.109,0.046,0.02,0.02,0.005
Iowa,8,West,0.543,0.178,0.09,0.038,0.012,0.012,0.005
Georgia,9,West,0.457,0.163,0.081,0.038,0.009,0.009,0.005
UCF,9,Midwest,0.457,0.178,0.081,0.032,0.01,0.01,0.005
Wisconsin,9,East,0.465,0.128,0.055,0.022,0.009,0.009,0.004
Santa Clara,11,South,0.343,0.131,0.045,0.019,0.006,0.006,0.004
Texas A&M,7,South,0.559,0.224,0.097,0.031,0.01,0.01,0.003
Missouri,10,East,0.435,0.157,0.061,0.019,0.008,0.008,0.003
Saint Marys,10,West,0.409,0.152,0.061,0.025,0.007,0.007,0.003
Oklahoma State,10,Midwest,0.433,0.16,0.063,0.022,0.008,0.008,0.003
Michigan State,11,East,0.354,0.136,0.061,0.019,0.008,0.008,0.003
SMU,9,South,0.466,0.152,0.066,0.022,0.008,0.008,0.002
USC,10,South,0.441,0.156,0.074,0.03,0.004,0.004,0.002
Miami OH,11,West,0.358,0.119,0.046,0.019,0.006,0.006,0.002
Virginia,12,East,0.288,0.101,0.03,0.013,0.004,0.004,0.002
Belmont,12,South,0.302,0.098,0.027,0.009,0.002,0.002,0.002
UCLA,11,Midwest,0.346,0.127,0.043,0.012,0.006,0.006,0.001
Liberty,13,East,0.266,0.101,0.02,0.005,0.003,0.003,0.001
High Point,13,West,0.251,0.09,0.032,0.014,0.005,0.005,0.001
Wright State,14,West,0.213,0.075,0.03,0.008,0.002,0.002,0.001
Navy,15,East,0.214,0.08,0.017,0.003,0.001,0.001,0.001
Long Island,16,East,0.1,0.037,0.004,0.003,0.001,0.001,0.001
UT Martin,16,South,0.147,0.044,0.013,0.003,0.001,0.001,0.001
NJIT,16,Midwest,0.145,0.035,0.01,0.005,0.001,0.001,0.001
Yale,12,West,0.303,0.113,0.033,0.016,0.002,0.002,0.0
Tulsa,12,Midwest,0.314,0.117,0.037,0.01,0.002,0.002,0.0
Stephen F Austin,13,South,0.264,0.103,0.03,0.007,0.0,0.0,0.0
Hawaii,13,Midwest,0.278,0.088,0.026,0.01,0.004,0.004,0.0
Charleston,14,East,0.238,0.084,0.02,0.006,0.001,0.001,0.0
East Tennessee State,14,South,0.223,0.074,0.021,0.004,0.001,0.001,0.0
North Dakota State,14,Midwest,0.227,0.071,0.024,0.004,0.001,0.001,0.0
Portland State,15,West,0.194,0.069,0.017,0.009,0.001,0.001,0.0
Austin Peay,15,South,0.176,0.062,0.023,0.004,0.001,0.001,0.0
Bethune Cookman,15,Midwest,0.187,0.051,0.012,0.001,0.0,0.0,0.0
Morgan State,16,West,0.143,0.05,0.011,0.003,0.001,0.001,0.0
