team,record,elo,rank,elo delta,seed,region
Michigan,25-1,1918.08,1,,1,Midwest
Arizona,24-2,1885.83,2,3,1,West
Duke,24-2,1868.64,3,,1,East
Houston,23-3,1832.62,4,-2,1,South
Connecticut,24-3,1831.86,5,-1,2,East
Illinois,22-5,1812.59,6,7,2,South
Iowa State,23-3,1802.91,8,4,2,Midwest
Purdue,21-5,1709.24,18,-12,2,West
Gonzaga,26-2,1805.75,7,3,3,West
Texas Tech,19-7,1794.18,10,-3,3,Midwest
Kansas,20-6,1788.36,11,,3,East
Florida,20-6,1770.76,12,-4,3,South
Virginia,23-3,1761.29,13,1,4,Midwest
Michigan State,21-5,1755.93,14,7,4,East
Nebraska,22-4,1733.49,15,1,4,South
Alabama,19-7,1719.97,16,1,4,West
Saint John's,21-5,1797.15,9,,5,West
Tennessee,19-7,1698.83,19,6,5,Midwest
Arkansas,19-7,1687.81,21,-3,5,South
Vanderbilt,21-5,1670.9,26,-7,5,East
BYU,19-7,1670.56,27,-1,6,West
Louisville,19-7,1655.09,30,-15,6,East
Kentucky,17-9,1652.89,34,-14,6,Midwest
North Carolina,20-6,1637.4,39,-12,6,South
Villanova,21-5,1680.88,22,6,7,West
Utah State,22-3,1673.32,24,,7,South
Wisconsin,18-8,1667.35,28,-6,7,Midwest
North Carolina State,19-8,1652.73,35,5,7,East
Saint Louis,23-2,1695.83,20,3,8,Midwest
Iowa,19-7,1656.36,29,8,8,West
Miami (FL),21-5,1654.18,32,11,8,East
Clemson,20-7,1631.56,41,-10,8,South
Saint Mary's College,23-4,1673.95,23,6,9,West
Texas,16-9,1593.96,50,-9,9,East
SMU,18-8,1614.39,45,10,9,Midwest
Indiana,17-9,1612.85,46,-8,9,South
Texas A&M,18-8,1626.46,42,8,10,South
UCF,18-7,1637.63,38,8,10,East
Georgia,18-8,1553.77,55,10,10,Midwest
Auburn,14-12,1594.25,49,,10,West
Miami (OH),23-0,1711.61,17,13,11,West
Santa Clara,21-6,1633.36,40,-1,11,Midwest
Missouri,18-8,1552.69,56,-5,11,East
Ohio State,17-9,1622.89,43,2,11,South
Liberty,20-3,1672.72,25,9,12,South
Belmont,23-4,1642.71,37,-4,12,West
South Florida,18-8,1597.18,48,8,12,East
Yale,18-4,1543.87,58,-5,12,Midwest
Stephen F. Austin,22-3,1536.63,59,10,13,South
High Point,22-4,1518.12,65,-8,13,East
California Baptist,19-8,1445.83,93,-3,13,Midwest
UNCW,21-4,1561.6,53,1,13,West
North Dakota State,19-6,1505.71,68,18,14,West
UC Irvine,16-9,1472.17,83,17,14,Midwest
Austin Peay,18-6,1451.84,90,17,14,East
Portland State,15-7,1417.63,105,35,14,South
Merrimack,18-9,1484.28,76,-2,15,West
Troy,16-10,1446.52,92,23,15,South
Navy,20-6,1440.46,97,15,15,East
East Tennessee State,18-8,1366.42,137,-19,15,Midwest
Wright State,16-10,1420.15,102,33,16,South
Long Island,19-9,1325.59,174,11,16,West
Southeast Missouri,14-11,1320.03,177,-1,16,Midwest
Bethune-Cookman,13-13,1286.23,205,-1,16,East
San Diego State,17-7,1654.19,31,1,,
VCU,21-6,1653.6,33,3,,
New Mexico,19-6,1646.75,36,6,,
UCLA,17-9,1617.98,44,-9,,
Akron,20-5,1599.53,47,1,,
Grand Canyon,17-9,1567.28,51,16,,
West Virginia,16-10,1565.87,52,,,
TCU,16-10,1555.73,54,-7,,
USC,17-8,1546.93,57,-13,,
Tulsa,19-6,1534.9,60,28,,
Virginia Tech,17-10,1526.6,61,-2,,
McNeese,20-5,1526.35,62,-4,,
California,17-8,1520.78,63,3,,
Cincinnati,14-12,1520.7,64,-3,,
Nevada,17-9,1508.6,66,-6,,
Wichita State,16-10,1508.27,67,9,,
George Mason,20-6,1499.63,69,-6,,
Boise State,14-10,1496.64,70,-8,,
Arizona State,14-12,1493.75,71,11,,
Sam Houston State,15-8,1492.34,72,27,,
Mississippi State,13-13,1489.64,73,8,,
UIC,14-12,1488.13,74,28,,
Stanford,16-10,1485.12,75,-3,,
Kent State,18-7,1483.74,77,3,,
Florida State,13-13,1478.58,78,-5,,
Winthrop,17-8,1478.43,79,6,,
Creighton,14-13,1476.81,80,16,,
Seton Hall,18-9,1475.67,81,-11,,
Charleston,17-10,1473.2,82,21,,
Oklahoma State,16-10,1470.64,84,-16,,
Wake Forest,14-12,1464.91,85,-2,,
Saint Joseph's,14-10,1462.42,86,23,,
Washington,13-13,1460.39,87,-10,,
Syracuse,15-12,1456.11,88,-17,,
Utah Valley,16-7,1454.9,89,5,,
Rhode Island,15-11,1449.11,91,58,,
Bradley,17-10,1444.29,94,-30,,
Dayton,17-9,1442.86,95,-16,,
Illinois State,17-10,1441.05,96,23,,
DePaul,14-12,1438.39,98,24,,
UNLV,12-13,1436.14,99,-12,,
UAB,16-10,1433.97,100,-2,,
Butler,14-13,1430.57,101,32,,
Colorado State,15-10,1419.54,103,-2,,
Georgetown,13-13,1418.84,104,-13,,
Saint Thomas,18-7,1416.73,106,18,,
Memphis,12-14,1410.2,107,-1,,
Duquesne,14-10,1409.27,108,-11,,
Xavier,13-13,1407.88,109,-25,,
Ole Miss,11-15,1402.81,110,3,,
Rutgers,11-15,1400.34,111,5,,
Baylor,12-13,1398.9,112,-37,,
Oklahoma,13-13,1397.46,113,-35,,
Valparaiso,14-13,1395.1,114,25,,
Colorado,14-12,1394.59,115,-20,,
Cal State Northridge,15-10,1389.44,116,-6,,
South Alabama,17-9,1389.08,117,-28,,
LSU,14-12,1386.58,118,-10,,
Minnesota,12-14,1384.97,119,12,,
Northern Iowa,17-10,1384.91,120,-28,,
Hawaii,16-7,1383.64,121,-7,,
Northwestern,11-16,1382.93,122,5,,
FAU,13-12,1382.92,123,29,,
Davidson,14-10,1381.5,124,4,,
Louisiana Tech,12-11,1378.91,125,45,,
Harvard,13-10,1377.67,126,,,
Murray State,19-10,1374.47,127,-34,,
Kansas State,11-15,1369.94,128,15,,
Tulane,15-10,1369.8,129,-24,,
Siena,18-9,1369.76,130,27,,
Stony Brook,14-11,1369.58,131,71,,
George Washington,14-12,1369.05,132,-15,,
Notre Dame,12-14,1368.8,133,1,,
Saint Peter's,14-9,1368.74,134,29,,
Lipscomb,15-11,1368.01,135,46,,
Robert Morris,16-10,1367.92,136,-25,,
Texas State,16-11,1366.09,138,8,,
UC San Diego,16-9,1363.75,139,-18,,
Marshall,17-10,1363.11,140,22,,
Pacific,15-12,1362.72,141,17,,
Marquette,9-18,1361.59,142,-5,,
Charlotte,12-13,1361.31,143,56,,
Central Arkansas,16-10,1361.09,144,7,,
UC Santa Barbara,15-10,1359.95,145,-16,,
San Francisco,14-14,1359.89,146,-21,,
Utah Tech,13-12,1358.09,147,-15,,
Wofford,16-10,1355.03,148,20,,
Green Bay,14-13,1354.53,149,62,,
Oregon State,14-14,1354.2,150,-12,,
Washington State,11-16,1353.29,151,24,,
Maryland,10-16,1351.4,152,-48,,
James Madison,14-13,1350.03,153,3,,
Monmouth,13-13,1348.69,154,-7,,
South Carolina,11-15,1346.95,155,5,,
Kennesaw State,12-11,1346.61,156,35,,
Coastal Carolina,15-12,1346.2,157,12,,
Southern Illinois,12-15,1341.45,158,15,,
Utah,10-16,1340.69,159,21,,
Cal State Fullerton,12-14,1338.53,160,68,,
Quinnipiac,17-10,1338.1,161,-16,,
Penn,12-10,1335.26,162,-1,,
Morehead State,13-12,1335.2,163,51,,
Marist,16-10,1334.24,164,36,,
Oakland,13-14,1332.84,165,1,,
UC Davis,14-11,1331.59,166,-16,,
Pittsburgh,9-17,1329.69,167,5,,
Wyoming,13-12,1329.68,168,19,,
Hofstra,16-10,1329.12,169,-33,,
Jacksonville State,10-13,1329.12,170,7,,
UTRGV,13-12,1329.04,171,34,,
Fordham,12-12,1326.56,172,2,,
Oregon,9-17,1326.06,173,-53,,
Providence,11-15,1323.12,175,-33,,
Seattle University,14-12,1321.52,176,-23,,
Cornell,10-11,1319.76,178,-11,,
Appalachian State,16-11,1319.74,179,-38,,
UTA,13-11,1319.64,180,66,,
Saint Bonaventure,13-12,1319.63,181,-27,,
North Texas,13-12,1319.11,182,-59,,
Drexel,13-14,1318.47,183,7,,
Purdue Fort Wayne,12-13,1315.07,184,,,
Temple,14-11,1314.64,185,-41,,
Furman,14-11,1306.97,186,-15,,
Towson,12-13,1305.93,187,-28,,
Western Kentucky,13-11,1305.15,188,-24,,
UMass,14-12,1304.55,189,-6,,
Northern Kentucky,14-11,1304.34,190,22,,
Mercer,14-11,1303.6,191,-12,,
Tennessee State,15-9,1303.01,192,26,,
William & Mary,14-11,1302.36,193,-11,,
Elon,12-13,1300.92,194,28,,
Arkansas State,15-11,1299.04,195,-40,,
North Dakota,13-14,1297.68,196,23,,
Drake,10-17,1296.9,197,,,
Fresno State,11-14,1296.2,198,-10,,
Vermont,15-11,1295.26,199,-21,,
Ohio,12-13,1293.79,200,1,,
Queens,15-12,1291.37,201,-6,,
Toledo,11-13,1290.97,202,6,,
Georgia Tech,11-16,1290.2,203,-9,,
Fairfield,16-11,1288.89,204,5,,
Samford,14-12,1283.7,206,-76,,
Mount Saint Mary's,12-15,1283.6,207,-1,,
Boston College,9-17,1282.86,208,9,,
Radford,12-13,1282.66,209,1,,
Montana State,12-12,1280.51,210,-17,,
UMBC,15-8,1277.15,211,12,,
Omaha,11-14,1270.53,212,-9,,
Penn State,11-16,1270.3,213,-65,,
Colgate,14-12,1264.92,214,-7,,
Cal Poly,10-16,1260.98,215,1,,
Bowling Green,13-11,1260.52,216,-20,,
Tennessee-Martin,17-9,1260.46,217,-31,,
Middle Tennessee,9-14,1259.15,218,-5,,
Campbell,11-14,1258.08,219,2,,
Iona,15-12,1255.36,220,22,,
Rice,9-15,1255.32,221,23,,
Richmond,13-13,1255.2,222,-24,,
Georgia State,8-18,1254.86,223,73,,
Montana,11-12,1251.17,224,-32,,
Old Dominion,9-18,1251.14,225,36,,
Missouri State,10-13,1248.88,226,11,,
Columbia,13-9,1245.83,227,3,,
Detroit,10-13,1244.84,228,-1,,
Northern Colorado,14-10,1242.01,229,-64,,
San Diego,9-17,1241.82,230,30,,
SIUE,14-11,1239.13,231,-42,,
Hampton,10-15,1236.08,232,7,,
UTEP,7-16,1233.13,233,-7,,
Texas A&M-Corpus Christi,10-13,1233.07,234,9,,
New Orleans,12-15,1232.55,235,31,,
Western Carolina,9-15,1229.31,236,38,,
Georgia Southern,13-13,1228,237,-12,,
Southern Miss,12-14,1224.53,238,-5,,
Buffalo,13-11,1223.96,239,-7,,
American,13-13,1223.78,240,25,,
Portland,10-16,1223.09,241,-17,,
Princeton,7-17,1221.56,242,14,,
Milwaukee,10-17,1220.5,243,10,,
Dartmouth,8-13,1214.85,244,14,,
Jackson State,9-17,1214.61,245,42,,
UNC Asheville,9-15,1213.73,246,1,,
Youngstown State,11-14,1213.49,247,-11,,
Sacred Heart,11-17,1212.45,248,6,,
FIU,9-14,1211.97,249,1,,
La Salle,6-19,1210.94,250,13,,
Alabama A&M,13-11,1209.82,251,27,,
East Carolina,8-17,1209.1,252,-32,,
NJIT,14-13,1208.1,253,-24,,
Howard,13-10,1206.58,254,-3,,
Delaware,9-16,1205.04,255,-17,,
Abilene Christian,9-14,1201.97,256,-15,,
Central Connecticut,14-10,1201.15,257,-26,,
Presbyterian College,11-14,1196.97,258,17,,
UNCG,10-16,1194.91,259,-44,,
Lindenwood,13-12,1193.6,260,-20,,
Tarleton State,10-13,1193.52,261,18,,
Texas Southern,8-15,1193.4,262,35,,
Eastern Washington,9-17,1192.69,263,1,,
FGCU,11-15,1191.73,264,-7,,
Weber State,12-14,1191.38,265,16,,
Denver,11-15,1186.87,266,-4,,
Southern Utah,6-18,1184.84,267,18,,
South Dakota,11-14,1184.26,268,-23,,
Loyola-Marymount,12-15,1182.05,269,-35,,
Cleveland State,7-18,1179.38,270,-21,,
New Mexico State,9-13,1178.69,271,-36,,
Lamar,10-15,1178.17,272,-4,,
Idaho,11-13,1176.44,273,-6,,
Le Moyne,13-14,1176.4,274,2,,
Chattanooga,8-17,1170.07,275,-5,,
San Jose State,6-19,1167.61,276,14,,
North Carolina A&T,8-15,1166.75,277,15,,
Southern,9-14,1163.78,278,-23,,
Louisiana,9-19,1163.58,279,-31,,
Morgan State,7-14,1160.53,280,9,,
Boston University,12-15,1156.21,281,2,,
Lehigh,10-16,1155.68,282,4,,
Little Rock,9-17,1154.57,283,38,,
Long Beach State,6-19,1149.1,284,35,,
Brown,6-15,1146.56,285,-5,,
Loyola-Chicago,6-21,1143.72,286,-34,,
Norfolk State,9-14,1143.66,287,-10,,
Houston Christian,8-17,1143.66,288,43,,
Indiana State,8-18,1140.05,289,-20,,
Mercyhurst,11-15,1136.99,290,8,,
Loyola-Maryland,9-17,1135.67,291,,,
Longwood,11-15,1132.22,292,-21,,
South Dakota State,9-16,1131.58,293,-20,,
Bellarmine,9-16,1127.57,294,-12,,
Nicholls,10-16,1127.5,295,-36,,
Manhattan,11-17,1125.13,296,-24,,
